CEPDL,URADL,ffwd_norm
CEPDL,IL1DL,sensory_rec
CEPDL,RICR,cross_sensory_skip
CEPDL,OLLL,sensory_rec
CEPDL,RMHR,cross_sensory_skip
CEPDL,URYDL,sensory_rec
ALNL,SMBDR,ffwd_norm
ALNL,SAAVL,ffwd_norm
SMBDR,SAAVL,l3_rec
SAAVL,AVAL,l3_rec
SAAVL,RIML,l3_rec
SAAVL,SMDDR,l3_rec
SAAVL,RIMR,l3_rec
URXL,AUAL,ffwd_skip
URXL,AVEL,cross_sensory_skip
URXL,RIAL,cross_sensory_skip
URXL,RICL,cross_sensory_skip
URXL,RIGL,cross_sensory_skip
URXL,RIR,cross_sensory_skip
DVA,AUAL,l3_inter_rec
DVA,AVEL,l3_inter_rec
BAGR,AVAL,cross_sensory_skip
BAGR,AVEL,cross_sensory_skip
BAGR,RIAL,cross_sensory_skip
BAGR,RIBL,ffwd_skip
BAGR,RIGL,cross_sensory_skip
AQR,AVAL,cross_sensory_skip
AQR,AVBL,ffwd_skip
AQR,BAGL,sensory_inter_rec
AQR,PVCL,ffwd_skip
AQR,PVPL,ffwd_skip
AQR,RIAL,cross_sensory_skip
PVPR,AVAL,l3_inter_rec
PVPR,AVBL,l3_rec
PVPR,AVHL,l3_rec
RICL,AVAL,l3_rec
RICL,AVAR,l3_rec
RICL,SMDDR,l3_rec
RICL,SMBDL,l3_rec
RICL,SMDDL,l3_rec
RICL,SMDVR,l3_rec
FLPR,AVAL,cross_sensory_skip
PVPL,AVAL,l3_inter_rec
PVPL,AVBL,l3_rec
PVPL,PVCL,l3_rec
PVPL,AVAR,l3_inter_rec
PVPL,AVBR,l3_rec
PVPL,AVHR,l3_rec
SDQR,AVAL,ffwd_norm
RICR,AVAL,l3_rec
RICR,SMDDL,l3_rec
RICR,SMDVL,l3_rec
AVM,AVBL,ffwd_skip
AVM,BDUL,ffwd_norm
AVM,PVCL,ffwd_skip
PVCR,AVBL,l3_rec
PVCR,AVDL,l3_rec
PVCR,AVEL,l3_inter_rec
AVFL,AVBL,l3_inter_rec
AVFL,AVFR,l3_rec
RIFR,AVJL,fbk
AVJL,AVBL,ffwd_norm
AVJL,AVBR,ffwd_norm
AVJL,PVCR,ffwd_norm
ADLR,AVDL,cross_sensory_skip
ASHR,AVDL,ffwd_skip
CEPDR,AVEL,ffwd_skip
CEPDR,RICL,cross_sensory_skip
CEPDR,RMHL,cross_sensory_skip
ALA,AVEL,l3_inter_rec
CEPVR,AVEL,ffwd_skip
CEPVR,RICL,cross_sensory_skip
OLLR,AVEL,ffwd_skip
OLLR,SMDDL,cross_sensory_skip
OLLR,SMDVL,cross_sensory_skip
RIS,AVEL,l3_inter_rec
RIS,AVKL,l3_rec
RIS,CEPVL,fbk_violation
RIS,RIBL,l3_inter_rec
RIS,RIML,l3_rec
RIS,RMDL,l3_rec
RIS,SMDVL,l3_rec
RMGL,AVEL,l3_inter_rec
RMGL,RMDL,l3_rec
RMGL,RMDVL,l3_inter_rec
RMGL,RMDR,l3_rec
URYVR,AVEL,ffwd_skip
URYVR,RMDVL,ffwd_skip
URYVR,SMDVL,cross_sensory_skip
URYDR,AVEL,ffwd_skip
URYDR,RMDDL,ffwd_skip
URYDR,SMDDL,cross_sensory_skip
AVFR,AVFL,l3_rec
AVHL,RIR,l3_rec
AVHL,PVPR,l3_rec
AVHL,SMBVR,l3_inter_rec
BDUR,AVJL,l2_rec
AVKL,RIML,l3_rec
AVKL,SAADR,l3_rec
AVKL,RIMR,l3_rec
SAADR,OLLL,fbk_violation
SAADR,RIML,l3_rec
RMFR,AVKL,l3_rec
RMFR,RMDL,l3_rec
PVT,AVKL,ffwd_norm
PVT,RIGL,ffwd_norm
PVT,RMFL,ffwd_norm
RMFL,AVKL,l3_rec
RMFL,RMDR,l3_rec
RMFL,AVKR,l3_rec
ASIR,AWCL,sensory_rec
RIAR,RIAL,l3_rec
RIAR,RIVL,l3_inter_rec
RIAR,RMDDL,l3_rec
RIAR,RMDL,l3_inter_rec
RIAR,RMDVL,l3_rec
RIAR,SMDDL,l3_inter_rec
RIAR,SMDVL,l3_inter_rec
OLQDL,RMDDR,ffwd_skip
OLQDL,RICR,cross_sensory_skip
OLQDL,SIBVL,cross_sensory_skip
RMDVL,RMDDR,l3_rec
URADL,RIPL,l2_rec
IL1DL,RMDVL,ffwd_skip
IL1DL,RIPL,ffwd_norm
RMHR,RMDL,l3_rec
