pre,post,in_resnet,in_fbk
URYDL,RMDDR,1,0
URBL,CEPDL,0,0
URBL,IL1L,0,0
URBL,URXL,0,0
URBL,RICR,1,0
RMDDL,RMDVR,1,0
IL1VL,RMDDL,1,0
IL1VL,URAVL,1,0
IL1VL,RIPL,1,0
URAVL,RIPL,1,0
URAVL,RMER,1,0
OLQVL,RICL,0,0
OLQVL,RMDVR,1,0
IL2DL,IL1DL,1,0
IL2DL,URADL,1,0
IL2DL,RIPL,1,0
IL1L,RMDDL,1,0
IL1L,RMDVL,1,0
IL1L,RMDR,0,0
IL1L,RMDVR,1,0
RMDR,IL1L,0,0
RMDR,RIAL,1,0
RMDR,RMDL,1,0
RMDR,RMDVL,1,0
RMDVR,RMDDL,1,0
IL2L,IL1L,1,0
IL2L,OLQDL,1,0
IL2L,RIH,1,0
URYVL,IL1VL,1,0
URYVL,RIBL,0,0
URYVL,RMDDL,1,0
URYVL,AVER,1,0
URYVL,SMDVR,0,0
URYVL,RMDVR,1,0
IL2VL,IL1VL,1,0
IL2VL,RMEV,1,0
IL2VL,RMEL,1,0
IL2VL,URAVL,1,0
IL2VL,RIPL,1,0
IL2VL,RMER,1,0
RMDDR,RMDVL,1,0
AVHR,PVPL,1,0
AVHR,SMBVL,1,0
RIVR,RIAL,1,0
RIVR,SAADL,1,0
RIVR,SIAVL,1,0
SMDDL,RIAL,1,0
SMDDL,RIML,1,0
SMDDL,RIAR,1,0
SMDDL,SMDVR,1,0
SMDVL,RIAL,1,0
SMDVL,RIAR,1,0
SMDVL,SMDDR,1,0
OLQDR,RICL,0,0
OLQDR,RMDDL,1,0
URBR,RICL,1,0
AVKR,RIML,1,0
AVKR,SAADL,1,0
SAAVR,RIML,1,0
SAAVR,SMDDL,1,0
RIVL,RMDVL,1,0
RIVL,SAADR,1,0
RIVL,SIAVR,1,0
RIVL,RIAR,1,0
RIVL,RMDL,1,0
RIVL,SMDVL,1,0
IL1R,RMDL,0,0
IL1R,RMDVL,1,0
RMGR,RMDL,1,0
OLQVR,RMDVL,1,0
IL2VR,RMEL,1,0
URAVR,RMEL,1,0
RMHL,RMDR,1,0
SDQL,AVAR,1,0
RMED,SMDDL,1,0
ALNR,SMBDL,1,0
