ASIL,AWCR,AIBL,Taxis,Taxis,Taxis,1,1,3,7,4,1,M,MFB,1,3
AWCR,AIAL,AIBL,Taxis,Taxis,Taxis,1,2,3,7,0,1,V,FF,1,3
ASKL,AIAL,AIBL,Taxis,Taxis,Taxis,1,2,3,7,0,1,V,FF,1,3
AIML,ASGL,AIAL,Taxis,Taxis,Taxis,2,1,2,7,1,1,M,MPFF,1,2
ASIL,ASGL,AIAL,Taxis,Taxis,Taxis,1,1,2,7,4,1,M,MFB,1,2
PVQL,ASKL,AIAL,Taxis,Taxis,Taxis,2,1,2,7,1,1,M,MPFF,1,2
ASIL,AWCR,AIAL,Taxis,Taxis,Taxis,1,1,2,7,4,1,M,MFB,1,2
ASJL,PVQL,ASKL,Taxis,Taxis,Taxis,1,2,1,7,1,1,M,MPFF,1,2
URYVL,RIBL,SMDVR,Anterior,Taxis,Lateral,1,3,3,0,2,0,M,MDFF,1,3
URYVL,RIBL,AVER,Anterior,Taxis,Anterior,1,3,3,1,2,0,M,MDFF,1,3
CEPDL,URYDL,AVER,Anterior,Anterior,Anterior,1,1,3,7,4,1,M,MFB,1,3
CEPVL,OLQVL,RICL,Anterior,Anterior,Lateral,1,1,3,4,4,0,M,MFB,1,3
CEPVL,IL1VL,URAVL,Anterior,Anterior,Anterior,1,1,2,7,4,1,M,MFB,1,2
CEPVL,IL1VL,RMDDL,Anterior,Anterior,Anterior,1,1,3,7,4,1,M,MFB,1,3
AQR,PVPL,PVCL,Avoidance,Avoidance,Avoidance,1,3,3,7,2,1,M,MDFF,1,3
URBL,CEPDL,RICR,Lateral,Anterior,Lateral,3,1,3,1,1,0,M,MPFF,1,3
CEPDL,URYDL,RMDVL,Anterior,Anterior,Anterior,1,1,3,7,4,1,M,MFB,1,3
CEPDL,IL1DL,RMDVL,Anterior,Anterior,Anterior,1,1,3,7,4,1,M,MFB,1,3
CEPDL,OLQDL,RICR,Anterior,Anterior,Lateral,1,1,3,4,4,0,M,MFB,1,3
ALNL,SMBDR,SAAVL,Lateral,Lateral,Lateral,2,3,3,7,2,1,M,MDFF,2,3
RMGL,RMDR,RMDVL,Lateral,Lateral,Anterior,3,3,3,4,7,1,H,BFB,3,3
PVT,RMFL,AVKL,Lateral,Lateral,Lateral,2,3,3,7,2,1,M,MDFF,2,3
URYVL,IL1VL,RMDDL,Anterior,Anterior,Anterior,1,1,3,7,4,1,M,MFB,1,3
IL2VL,IL1VL,URAVL,Anterior,Anterior,Anterior,1,1,2,7,4,1,M,MFB,1,2
IL2VL,URAVL,RMER,Anterior,Anterior,Anterior,1,2,3,7,0,1,V,FF,1,3
